dispositionID,clientID,accountID,dispositionType
433,C00000433,A00000355,OWNER
434,C00000434,A00000356,OWNER
435,C00000435,A00000357,OWNER
436,C00000436,A00000358,OWNER
437,C00000437,A00000359,OWNER
438,C00000438,A00000360,OWNER
439,C00000439,A00000361,OWNER
440,C00000440,A00000362,OWNER
441,C00000441,A00000363,OWNER
442,C00000442,A00000364,OWNER
443,C00000443,A00000364,DISPONENT
444,C00000444,A00000365,OWNER
445,C00000445,A00000366,OWNER
446,C00000446,A00000366,DISPONENT
447,C00000447,A00000367,OWNER
448,C00000448,A00000368,OWNER
450,C00000450,A00000370,OWNER
451,C00000451,A00000371,OWNER
452,C00000452,A00000372,OWNER
453,C00000453,A00000373,OWNER
454,C00000454,A00000374,OWNER
455,C00000455,A00000375,OWNER
456,C00000456,A00000376,OWNER
457,C00000457,A00000377,OWNER
458,C00000458,A00000378,OWNER
459,C00000459,A00000379,OWNER
461,C00000461,A00000381,OWNER
462,C00000462,A00000382,OWNER
463,C00000463,A00000383,OWNER
464,C00000464,A00000384,OWNER
465,C00000465,A00000385,OWNER
466,C00000466,A00000386,OWNER
467,C00000467,A00000386,DISPONENT
468,C00000468,A00000387,OWNER
469,C00000469,A00000388,OWNER
470,C00000470,A00000389,OWNER
471,C00000471,A00000390,OWNER
472,C00000472,A00000391,OWNER
473,C00000473,A00000392,OWNER
474,C00000474,A00000393,OWNER
476,C00000476,A00000395,OWNER
477,C00000477,A00000395,DISPONENT
478,C00000478,A00000396,OWNER
479,C00000479,A00000397,OWNER
480,C00000480,A00000397,DISPONENT
481,C00000481,A00000398,OWNER
482,C00000482,A00000398,DISPONENT
483,C00000483,A00000399,OWNER
484,C00000484,A00000400,OWNER
485,C00000485,A00000401,OWNER
486,C00000486,A00000402,OWNER
487,C00000487,A00000403,OWNER
488,C00000488,A00000403,DISPONENT
489,C00000489,A00000404,OWNER
490,C00000490,A00000405,OWNER
491,C00000491,A00000406,OWNER
492,C00000492,A00000407,OWNER
493,C00000493,A00000408,OWNER
494,C00000494,A00000409,OWNER
495,C00000495,A00000410,OWNER
496,C00000496,A00000411,OWNER
497,C00000497,A00000412,OWNER
498,C00000498,A00000412,DISPONENT
499,C00000499,A00000413,OWNER
500,C00000500,A00000414,OWNER
501,C00000501,A00000415,OWNER
502,C00000502,A00000416,OWNER
503,C00000503,A00000417,OWNER
504,C00000504,A00000418,OWNER
505,C00000505,A00000419,OWNER
506,C00000506,A00000420,OWNER
507,C00000507,A00000421,OWNER
508,C00000508,A00000422,OWNER
509,C00000509,A00000423,OWNER
510,C00000510,A00000424,OWNER
511,C00000511,A00000425,OWNER
512,C00000512,A00000426,OWNER
513,C00000513,A00000427,OWNER
514,C00000514,A00000427,DISPONENT
515,C00000515,A00000428,OWNER
516,C00000516,A00000428,DISPONENT
517,C00000517,A00000429,OWNER
518,C00000518,A00000430,OWNER
519,C00000519,A00000431,OWNER
520,C00000520,A00000432,OWNER
521,C00000521,A00000433,OWNER
522,C00000522,A00000434,OWNER
523,C00000523,A00000435,OWNER
524,C00000524,A00000436,OWNER
525,C00000525,A00000436,DISPONENT
526,C00000526,A00000437,OWNER
527,C00000527,A00000437,DISPONENT
528,C00000528,A00000438,OWNER
529,C00000529,A00000439,OWNER
530,C00000530,A00000440,OWNER
531,C00000531,A00000441,OWNER
532,C00000532,A00000441,DISPONENT
533,C00000533,A00000442,OWNER
534,C00000534,A00000443,OWNER
535,C00000535,A00000444,OWNER
536,C00000536,A00000445,OWNER
537,C00000537,A00000446,OWNER
538,C00000538,A00000447,OWNER
540,C00000540,A00000449,OWNER
541,C00000541,A00000449,DISPONENT
542,C00000542,A00000450,OWNER
543,C00000543,A00000451,OWNER
544,C00000544,A00000452,OWNER
545,C00000545,A00000453,OWNER
546,C00000546,A00000454,OWNER
547,C00000547,A00000455,OWNER
548,C00000548,A00000456,OWNER
550,C00000550,A00000458,OWNER
551,C00000551,A00000459,OWNER
552,C00000552,A00000460,OWNER
553,C00000553,A00000460,DISPONENT
554,C00000554,A00000461,OWNER
555,C00000555,A00000461,DISPONENT
556,C00000556,A00000462,OWNER
557,C00000557,A00000463,OWNER
558,C00000558,A00000464,OWNER
559,C00000559,A00000465,OWNER
560,C00000560,A00000466,OWNER
561,C00000561,A00000467,OWNER
562,C00000562,A00000468,OWNER
563,C00000563,A00000469,OWNER
564,C00000564,A00000469,DISPONENT
565,C00000565,A00000470,OWNER
566,C00000566,A00000471,OWNER
567,C00000567,A00000471,DISPONENT
568,C00000568,A00000472,OWNER
569,C00000569,A00000473,OWNER
570,C00000570,A00000474,OWNER
571,C00000571,A00000475,OWNER
572,C00000572,A00000475,DISPONENT
573,C00000573,A00000476,OWNER
574,C00000574,A00000477,OWNER
575,C00000575,A00000478,OWNER
576,C00000576,A00000478,DISPONENT
577,C00000577,A00000479,OWNER
578,C00000578,A00000480,OWNER
579,C00000579,A00000481,OWNER
581,C00000581,A00000483,OWNER
582,C00000582,A00000484,OWNER
583,C00000583,A00000485,OWNER
584,C00000584,A00000486,OWNER
585,C00000585,A00000487,OWNER
586,C00000586,A00000487,DISPONENT
587,C00000587,A00000488,OWNER
588,C00000588,A00000489,OWNER
589,C00000589,A00000490,OWNER
590,C00000590,A00000491,OWNER
591,C00000591,A00000492,OWNER
592,C00000592,A00000493,OWNER
593,C00000593,A00000494,OWNER
596,C00000596,A00000496,OWNER
597,C00000597,A00000497,OWNER
598,C00000598,A00000498,OWNER
599,C00000599,A00000498,DISPONENT
601,C00000601,A00000500,OWNER
602,C00000602,A00000500,DISPONENT
603,C00000603,A00000501,OWNER
604,C00000604,A00000502,OWNER
605,C00000605,A00000503,OWNER
606,C00000606,A00000504,OWNER
607,C00000607,A00000505,OWNER
608,C00000608,A00000506,OWNER
609,C00000609,A00000507,OWNER
610,C00000610,A00000508,OWNER
611,C00000611,A00000509,OWNER
612,C00000612,A00000509,DISPONENT
613,C00000613,A00000510,OWNER
614,C00000614,A00000511,OWNER
615,C00000615,A00000512,OWNER
616,C00000616,A00000513,OWNER
617,C00000617,A00000514,OWNER
618,C00000618,A00000515,OWNER
619,C00000619,A00000516,OWNER
620,C00000620,A00000516,DISPONENT
621,C00000621,A00000517,OWNER
622,C00000622,A00000518,OWNER
623,C00000623,A00000519,OWNER
624,C00000624,A00000519,DISPONENT
625,C00000625,A00000520,OWNER
626,C00000626,A00000521,OWNER
627,C00000627,A00000522,OWNER
628,C00000628,A00000522,DISPONENT
629,C00000629,A00000523,OWNER
630,C00000630,A00000524,OWNER
631,C00000631,A00000525,OWNER
632,C00000632,A00000526,OWNER
633,C00000633,A00000526,DISPONENT
635,C00000635,A00000528,OWNER
636,C00000636,A00000528,DISPONENT
637,C00000637,A00000529,OWNER
638,C00000638,A00000530,OWNER
639,C00000639,A00000531,OWNER
640,C00000640,A00000532,OWNER
641,C00000641,A00000533,OWNER
642,C00000642,A00000533,DISPONENT
643,C00000643,A00000534,OWNER
644,C00000644,A00000535,OWNER
645,C00000645,A00000536,OWNER
646,C00000646,A00000537,OWNER
647,C00000647,A00000537,DISPONENT
648,C00000648,A00000538,OWNER
649,C00000649,A00000539,OWNER
651,C00000651,A00000540,OWNER
652,C00000652,A00000541,OWNER
653,C00000653,A00000542,OWNER
654,C00000654,A00000543,OWNER
655,C00000655,A00000544,OWNER
656,C00000656,A00000545,OWNER
657,C00000657,A00000546,OWNER
658,C00000658,A00000546,DISPONENT
659,C00000659,A00000547,OWNER
660,C00000660,A00000548,OWNER
661,C00000661,A00000548,DISPONENT
662,C00000662,A00000549,OWNER
663,C00000663,A00000550,OWNER
664,C00000664,A00000551,OWNER
665,C00000665,A00000552,OWNER
666,C00000666,A00000553,OWNER
667,C00000667,A00000554,OWNER
668,C00000668,A00000555,OWNER
669,C00000669,A00000556,OWNER
670,C00000670,A00000557,OWNER
671,C00000671,A00000558,OWNER
672,C00000672,A00000559,OWNER
673,C00000673,A00000560,OWNER
674,C00000674,A00000561,OWNER
675,C00000675,A00000562,OWNER
676,C00000676,A00000563,OWNER
677,C00000677,A00000564,OWNER
678,C00000678,A00000565,OWNER
679,C00000679,A00000566,OWNER
680,C00000680,A00000566,DISPONENT
681,C00000681,A00000567,OWNER
682,C00000682,A00000568,OWNER
683,C00000683,A00000569,OWNER
684,C00000684,A00000570,OWNER
685,C00000685,A00000571,OWNER
686,C00000686,A00000572,OWNER
687,C00000687,A00000572,DISPONENT
688,C00000688,A00000573,OWNER
689,C00000689,A00000574,OWNER
690,C00000690,A00000575,OWNER
691,C00000691,A00000575,DISPONENT
692,C00000692,A00000576,OWNER
693,C00000693,A00000576,DISPONENT
694,C00000694,A00000577,OWNER
695,C00000695,A00000578,OWNER
696,C00000696,A00000578,DISPONENT
697,C00000697,A00000579,OWNER
698,C00000698,A00000580,OWNER
699,C00000699,A00000581,OWNER
700,C00000700,A00000582,OWNER
702,C00000702,A00000584,OWNER
703,C00000703,A00000585,OWNER
704,C00000704,A00000586,OWNER
705,C00000705,A00000587,OWNER
706,C00000706,A00000588,OWNER
707,C00000707,A00000589,OWNER
708,C00000708,A00000590,OWNER
709,C00000709,A00000591,OWNER
710,C00000710,A00000592,OWNER
711,C00000711,A00000593,OWNER
712,C00000712,A00000594,OWNER
713,C00000713,A00000595,OWNER
714,C00000714,A00000596,OWNER
715,C00000715,A00000597,OWNER
716,C00000716,A00000598,OWNER
717,C00000717,A00000599,OWNER
718,C00000718,A00000599,DISPONENT
719,C00000719,A00000600,OWNER
720,C00000720,A00000601,OWNER
721,C00000721,A00000602,OWNER
722,C00000722,A00000603,OWNER
723,C00000723,A00000604,OWNER
724,C00000724,A00000605,OWNER
725,C00000725,A00000606,OWNER
726,C00000726,A00000607,OWNER
727,C00000727,A00000608,OWNER
728,C00000728,A00000608,DISPONENT
729,C00000729,A00000609,OWNER
730,C00000730,A00000609,DISPONENT
731,C00000731,A00000610,OWNER
732,C00000732,A00000610,DISPONENT
733,C00000733,A00000611,OWNER
734,C00000734,A00000611,DISPONENT
735,C00000735,A00000612,OWNER
736,C00000736,A00000612,DISPONENT
737,C00000737,A00000613,OWNER
738,C00000738,A00000614,OWNER
739,C00000739,A00000615,OWNER
740,C00000740,A00000616,OWNER
741,C00000741,A00000617,OWNER
742,C00000742,A00000618,OWNER
743,C00000743,A00000619,OWNER
744,C00000744,A00000620,OWNER
745,C00000745,A00000621,OWNER
746,C00000746,A00000621,DISPONENT
747,C00000747,A00000622,OWNER
748,C00000748,A00000623,OWNER
749,C00000749,A00000623,DISPONENT
750,C00000750,A00000624,OWNER
751,C00000751,A00000625,OWNER
752,C00000752,A00000626,OWNER
753,C00000753,A00000626,DISPONENT
754,C00000754,A00000627,OWNER
755,C00000755,A00000628,OWNER
756,C00000756,A00000629,OWNER
757,C00000757,A00000630,OWNER
758,C00000758,A00000631,OWNER
759,C00000759,A00000632,OWNER
760,C00000760,A00000633,OWNER
762,C00000762,A00000635,OWNER
763,C00000763,A00000636,OWNER
764,C00000764,A00000637,OWNER
765,C00000765,A00000638,OWNER
766,C00000766,A00000639,OWNER
767,C00000767,A00000639,DISPONENT
768,C00000768,A00000640,OWNER
769,C00000769,A00000641,OWNER
772,C00000772,A00000643,OWNER
773,C00000773,A00000644,OWNER
774,C00000774,A00000645,OWNER
775,C00000775,A00000646,OWNER
776,C00000776,A00000647,OWNER
777,C00000777,A00000647,DISPONENT
778,C00000778,A00000648,OWNER
779,C00000779,A00000649,OWNER
780,C00000780,A00000650,OWNER
781,C00000781,A00000651,OWNER
782,C00000782,A00000652,OWNER
783,C00000783,A00000653,OWNER
784,C00000784,A00000653,DISPONENT
785,C00000785,A00000654,OWNER
786,C00000786,A00000655,OWNER
787,C00000787,A00000656,OWNER
788,C00000788,A00000657,OWNER
789,C00000789,A00000658,OWNER
790,C00000790,A00000659,OWNER
791,C00000791,A00000660,OWNER
793,C00000793,A00000662,OWNER
794,C00000794,A00000662,DISPONENT
796,C00000796,A00000664,OWNER
797,C00000797,A00000665,OWNER
798,C00000798,A00000666,OWNER
799,C00000799,A00000666,DISPONENT
803,C00000803,A00000669,OWNER
804,C00000804,A00000669,DISPONENT
806,C00000806,A00000671,OWNER
807,C00000807,A00000672,OWNER
808,C00000808,A00000673,OWNER
809,C00000809,A00000674,OWNER
810,C00000810,A00000675,OWNER
811,C00000811,A00000675,DISPONENT
812,C00000812,A00000676,OWNER
813,C00000813,A00000677,OWNER
814,C00000814,A00000678,OWNER
815,C00000815,A00000679,OWNER
816,C00000816,A00000680,OWNER
818,C00000818,A00000682,OWNER
819,C00000819,A00000683,OWNER
820,C00000820,A00000683,DISPONENT
821,C00000821,A00000684,OWNER
822,C00000822,A00000685,OWNER
823,C00000823,A00000686,OWNER
824,C00000824,A00000687,OWNER
825,C00000825,A00000688,OWNER
826,C00000826,A00000689,OWNER
827,C00000827,A00000690,OWNER
828,C00000828,A00000690,DISPONENT
829,C00000829,A00000691,OWNER
830,C00000830,A00000692,OWNER
831,C00000831,A00000693,OWNER
832,C00000832,A00000694,OWNER
833,C00000833,A00000695,OWNER
834,C00000834,A00000696,OWNER
835,C00000835,A00000697,OWNER
836,C00000836,A00000697,DISPONENT
837,C00000837,A00000698,OWNER
838,C00000838,A00000698,DISPONENT
839,C00000839,A00000699,OWNER
840,C00000840,A00000700,OWNER
841,C00000841,A00000701,OWNER
842,C00000842,A00000702,OWNER
843,C00000843,A00000703,OWNER
844,C00000844,A00000704,OWNER
845,C00000845,A00000704,DISPONENT
846,C00000846,A00000705,OWNER
847,C00000847,A00000706,OWNER
