transactionID,accountID,type,operation,amount,balance,bank,date
480214,A00001637,Credit,Credit in Cash,500,500,,1/8/1993
612392,A00002087,Credit,Credit in Cash,600,600,,1/8/1993
224342,A00000764,Credit,Credit in Cash,1100,1100,,1/8/1993
1049881,A00003592,Credit,Credit in Cash,600,600,,1/8/1993
1132662,A00003871,Credit,Credit in Cash,300,300,,1/8/1993
1021120,A00003487,Credit,Credit in Cash,800,800,,1/8/1993
439035,A00001493,Credit,Credit in Cash,200,200,,1/9/1993
110534,A00000374,Credit,Credit in Cash,400,400,,1/9/1993
771036,A00002632,Credit,Credit in Cash,14264,15364,,1/9/1993
506450,A00001730,Credit,Credit in Cash,900,900,,1/9/1993
192097,A00000652,Credit,Credit in Cash,13851,14551,,1/9/1993
1117248,A00003818,Credit,Credit in Cash,17366,17966,,1/9/1993
695720,A00002379,Credit,Credit in Cash,800,800,,1/10/1993
857973,A00002925,Credit,Credit in Cash,1000,1000,,1/10/1993
477638,A00001628,Credit,Credit in Cash,700,700,,1/10/1993
1049882,A00003592,Credit,Collection from Another Bank,6007,6607,MN,1/10/1993
252644,A00000866,Credit,Credit in Cash,500,500,,1/10/1993
393505,A00001338,Credit,Credit in Cash,400,400,,1/11/1993
171813,A00000576,Credit,Collection from Another Bank,6207,7107,YZ,1/11/1993
581699,A00001979,Credit,Credit in Cash,900,900,,1/11/1993
252645,A00000866,Credit,Credit in Cash,12644,13144,,1/11/1993
101386,A00000346,Credit,Credit in Cash,800,800,,1/11/1993
689828,A00002357,Credit,Collection from Another Bank,6434,7234,OP,1/12/1993
725752,A00002484,Credit,Credit in Cash,14779,15879,,1/12/1993
565655,A00001926,Credit,Credit in Cash,4507,5207,,1/12/1993
857974,A00002925,Credit,Credit in Cash,6446,7446,,1/12/1993
560898,A00001909,Credit,Credit in Cash,800,800,,1/12/1993
207265,A00000704,Credit,Credit in Cash,17477,18477,,1/12/1993
477639,A00001628,Credit,Collection from Another Bank,4276,4976,UV,1/12/1993
615542,A00002099,Credit,Credit in Cash,1100,1100,,1/12/1993
439036,A00001493,Credit,Collection from Another Bank,5009,5209,AB,1/13/1993
1100759,A00003760,Credit,Credit in Cash,1000,1000,,1/13/1993
480215,A00001637,Credit,Collection from Another Bank,5718,6218,UV,1/13/1993
1548749,A00005270,Credit,Credit in Cash,800,800,,1/13/1993
505241,A00001726,Credit,Credit in Cash,13967,14967,,1/13/1993
846007,A00002881,Credit,Credit in Cash,6959,7659,,1/13/1993
1021121,A00003487,Credit,Credit in Cash,15914,16714,,1/13/1993
2908689,A00009635,Credit,Collection from Another Bank,4470,4870,CD,1/14/1993
858384,A00002926,Credit,Credit in Cash,600,600,,1/14/1993
498389,A00001699,Credit,Credit in Cash,800,800,,1/14/1993
699221,A00002393,Credit,Credit in Cash,10737,11637,,1/14/1993
1142758,A00003909,Credit,Credit in Cash,700,700,,1/14/1993
1548750,A00005270,Credit,Collection from Another Bank,44749,45549,IJ,1/14/1993
506836,A00001731,Credit,Credit in Cash,200,200,,1/14/1993
3393738,A00011265,Credit,Credit in Cash,1000,1000,,1/14/1993
621775,A00002122,Credit,Credit in Cash,46552,46852,,1/15/1993
737258,A00002519,Credit,Credit in Cash,500,500,,1/15/1993
144549,A00000485,Credit,Credit in Cash,13156,13456,,1/16/1993
435762,A00001481,Credit,Credit in Cash,1000,1000,,1/17/1993
1027726,A00003510,Credit,Credit in Cash,23323,23823,,1/17/1993
3122924,A00010364,Credit,Credit in Cash,1100,1100,,1/17/1993
1176385,A00004034,Credit,Credit in Cash,200,200,,1/18/1993
119435,A00000401,Credit,Credit in Cash,300,300,,1/18/1993
1100767,A00003760,Credit,Credit in Cash,10792,11792,,1/18/1993
682546,A00002330,Credit,Credit in Cash,200,200,,1/19/1993
529772,A00001806,Credit,Credit in Cash,400,400,,1/19/1993
1121963,A00003834,Credit,Credit in Cash,700,700,,1/19/1993
359511,A00001222,Credit,Credit in Cash,700,700,,1/20/1993
63712,A00000212,Credit,Credit in Cash,200,200,,1/20/1993
298978,A00001019,Credit,Credit in Cash,1100,1100,,1/21/1993
136957,A00000459,Credit,Credit in Cash,1000,1000,,1/21/1993
135814,A00000456,Credit,Credit in Cash,700,700,,1/21/1993
226654,A00000772,Credit,Credit in Cash,500,500,,1/21/1993
3402664,A00011295,Credit,Credit in Cash,1100,1100,,1/21/1993
695250,A00002378,Credit,Credit in Cash,7268,7968,,1/22/1993
451890,A00001536,Credit,Credit in Cash,300,300,,1/22/1993
785190,A00002676,Credit,Credit in Cash,200,200,,1/22/1993
615548,A00002099,Credit,Credit in Cash,16125,17225,,1/22/1993
871631,A00002970,Credit,Credit in Cash,400,400,,1/22/1993
695266,A00002378,Credit,Credit in Cash,14440,22408,,1/23/1993
347543,A00001179,Credit,Credit in Cash,700,700,,1/23/1993
708081,A00002425,Credit,Credit in Cash,900,900,,1/23/1993
83658,A00000280,Credit,Credit in Cash,300,300,,1/23/1993
695262,A00002378,Credit,Credit in Cash,49752,72160,,1/24/1993
1183176,A00004055,Credit,Credit in Cash,200,200,,1/24/1993
615547,A00002099,Credit,Credit in Cash,36518,53743,,1/24/1993
1084396,A00003704,Credit,Credit in Cash,500,500,,1/24/1993
2809952,A00009307,Credit,Credit in Cash,900,900,,1/24/1993
1486053,A00005065,Credit,Credit in Cash,300,300,,1/24/1993
1736607,A00005891,Credit,Credit in Cash,900,900,,1/25/1993
142150,A00000477,Credit,Credit in Cash,1000,1000,,1/25/1993
292053,A00001000,Credit,Credit in Cash,200,200,,1/25/1993
695265,A00002378,Credit,Credit in Cash,21899,94059,,1/26/1993
144551,A00000485,Credit,Credit in Cash,12336,25792,,1/26/1993
511264,A00001750,Credit,Credit in Cash,1100,1100,,1/26/1993
594014,A00002023,Credit,Credit in Cash,200,200,,1/26/1993
484214,A00001649,Credit,Credit in Cash,700,700,,1/26/1993
1910780,A00006473,Credit,Credit in Cash,1100,1100,,1/26/1993
1910790,A00006473,Credit,Credit in Cash,19961,21061,,1/26/1993
48640,A00000163,Credit,Credit in Cash,900,900,,1/27/1993
783290,A00002670,Credit,Credit in Cash,1100,1100,,1/27/1993
752010,A00002566,Credit,Credit in Cash,800,800,,1/27/1993
330659,A00001127,Credit,Credit in Cash,600,600,,1/27/1993
2176,A00000009,Credit,Credit in Cash,400,400,,1/27/1993
336631,A00001144,Credit,Credit in Cash,200,200,,1/28/1993
131922,A00000443,Credit,Credit in Cash,500,500,,1/28/1993
1256504,A00004296,Credit,Credit in Cash,200,200,,1/28/1993
851325,A00002902,Credit,Credit in Cash,200,200,,1/28/1993
393512,A00001338,Credit,Credit in Cash,38000,38400,,1/29/1993
612405,A00002087,Credit,Credit in Cash,16983,17583,,1/29/1993
1081327,A00003693,Credit,Credit in Cash,1000,1000,,1/29/1993
608135,A00002070,Credit,Credit in Cash,300,300,,1/29/1993
1190752,A00004078,Credit,Credit in Cash,300,300,,1/30/1993
541681,A00001843,Credit,Credit in Cash,1000,1000,,1/30/1993
796773,A00002714,Credit,Credit in Cash,800,800,,1/30/1993
695560,A00002378,Debit,Cash Withdrawal,34700,59453.7,,1/31/1993
3591421,A00001844,Credit,,12.6,3754.6,,1/31/1993
3617490,A00002632,Credit,,47.5,15411.5,,1/31/1993
3579543,A00001493,Credit,,13.3,5222.3,,1/31/1993
3558798,A00000866,Credit,,37.1,13181.1,,1/31/1993
3453599,A00006473,Credit,,17,21078,,1/31/1993
3513134,A00009635,Credit,,11.1,4892.9,,1/31/1993
3574567,A00001338,Credit,,15.5,38415.5,,1/31/1993
3654666,A00003760,Credit,,22.2,11814.2,,1/31/1993
3656579,A00003818,Credit,,55.8,18021.8,,1/31/1993
3456844,A00009635,Credit,,11.8,4881.8,,1/31/1993
3553661,A00000704,Credit,,50.1,18527.1,,1/31/1993
3552056,A00000652,Credit,,45,14596,,1/31/1993
3583848,A00001628,Credit,,13.4,4989.4,,1/31/1993
3584201,A00001637,Credit,,15.9,6233.9,,1/31/1993
3586191,A00001695,Credit,,38.8,12070.8,,1/31/1993
3587145,A00001726,Credit,,38.2,15005.2,,1/31/1993
3549613,A00000576,Credit,,20.1,7127.1,,1/31/1993
3546683,A00000485,Credit,,38.9,25830.9,,1/31/1993
3599467,A00002087,Credit,,7.1,17590.1,,1/31/1993
3600403,A00002122,Credit,,107.1,46959.1,,1/31/1993
3466049,A00003510,Credit,,48,23871,,1/31/1993
3444292,A00002099,Credit,,62.4,53805.4,,1/31/1993
207642,A00000704,Credit,Credit in Cash,2900,21427.1,,1/31/1993
3602138,A00002177,Credit,,21.5,5944.5,,1/31/1993
3595783,A00001972,Credit,,19.1,5717.1,,1/31/1993
3594124,A00001926,Credit,,14,5221,,1/31/1993
3648651,A00003592,Credit,,19.5,6626.5,,1/31/1993
3645341,A00003487,Credit,,42.7,16756.7,,1/31/1993
3556397,A00000793,Credit,,15.2,4216.2,,1/31/1993
2809959,A00009307,Credit,Credit in Cash,5282,6182,,1/31/1993
3608592,A00002378,Credit,,94.7,94153.7,,1/31/1993
3607855,A00002357,Credit,,19.4,7253.4,,1/31/1993
3609127,A00002393,Credit,,28.2,11665.1,,1/31/1993
3612139,A00002484,Credit,,42.7,15921.7,,1/31/1993
3669814,A00005270,Credit,,110.2,45659.2,,1/31/1993
3479816,A00009307,Credit,,0.8,6182.8,,1/31/1993
3572388,A00001276,Credit,,23.1,7197.1,,1/31/1993
3627125,A00002925,Credit,,20,7466,,1/31/1993
3625747,A00002881,Credit,,19.6,7678.6,,1/31/1993
1117691,A00003818,Credit,Credit in Cash,2000,20021.8,,1/31/1993
771484,A00002632,Credit,Credit in Cash,5100,20511.5,,2/1/1993
490777,A00001675,Credit,Credit in Cash,1100,1100,,2/1/1993
1730428,A00005868,Credit,Credit in Cash,200,200,,2/2/1993
453138,A00001539,Credit,Credit in Cash,11900,12500,,2/2/1993
754232,A00002574,Credit,Credit in Cash,1100,1100,,2/2/1993
726266,A00002484,Credit,Credit in Cash,5500,21421.7,,2/2/1993
497553,A00001695,Credit,Credit in Cash,7500,19570.8,,2/2/1993
529229,A00001805,Credit,Credit in Cash,1100,1100,,2/2/1993
882361,A00003007,Credit,Credit in Cash,800,800,,2/2/1993
505750,A00001726,Credit,Credit in Cash,6000,21005.2,,2/2/1993
251233,A00000862,Credit,Credit in Cash,200,200,,2/2/1993
711848,A00002434,Credit,Credit in Cash,600,600,,2/2/1993
145127,A00000485,Debit,Cash Withdrawal,25300,46177.9,,2/3/1993
144544,A00000485,Credit,Credit in Cash,45647,71477.9,,2/3/1993
332444,A00001132,Credit,Credit in Cash,1000,1000,,2/3/1993
1313152,A00004484,Credit,Credit in Cash,700,700,,2/3/1993
1028980,A00003514,Credit,Credit in Cash,600,600,,2/3/1993
275306,A00000943,Credit,Credit in Cash,800,800,,2/3/1993
846309,A00002881,Credit,Credit in Cash,7000,14678.5,,2/3/1993
138712,A00000465,Credit,Credit in Cash,700,700,,2/4/1993
1163520,A00003983,Credit,Credit in Cash,900,900,,2/4/1993
2797771,A00009265,Credit,Credit in Cash,300,300,,2/4/1993
192366,A00000652,Credit,Credit in Cash,2900,17496,,2/4/1993
695272,A00002378,Credit,Credit in Cash,30192,89645.7,,2/5/1993
783292,A00002670,Credit,Credit in Cash,24381,25481,,2/5/1993
122242,A00000411,Credit,Credit in Cash,400,400,,2/5/1993
637743,A00002177,Credit,Collection from Another Bank,5123,11067.5,YZ,2/5/1993
330661,A00001127,Credit,Credit in Cash,23330,23930,,2/5/1993
259747,A00000890,Credit,Credit in Cash,700,700,,2/5/1993
566013,A00001926,Credit,Credit in Cash,8500,13721,,2/5/1993
560900,A00001909,Credit,Collection from Another Bank,3191,3991,AB,2/5/1993
110536,A00000374,Credit,Collection from Another Bank,23041,23441,WX,2/5/1993
498391,A00001699,Credit,Collection from Another Bank,5224,6024,CD,2/5/1993
529774,A00001806,Credit,Collection from Another Bank,5029,5429,UV,2/5/1993
224344,A00000764,Credit,Collection from Another Bank,6238,7338,UV,2/5/1993
232962,A00000793,Credit,Collection from Another Bank,3401,7617.2,IJ,2/5/1993
286072,A00000982,Credit,Credit in Cash,900,900,,2/5/1993
851327,A00002902,Credit,Credit in Cash,20213,20413,,2/5/1993
3393740,A00011265,Credit,Credit in Cash,7618,8618,,2/5/1993
101388,A00000346,Credit,Credit in Cash,19935,20735,,2/5/1993
184681,A00000627,Credit,Credit in Cash,600,600,,2/5/1993
336633,A00001144,Credit,Collection from Another Bank,3375,3575,GH,2/6/1993
119437,A00000401,Credit,Credit in Cash,12817,13117,,2/6/1993
1157039,A00003960,Credit,Credit in Cash,500,500,,2/6/1993
1100775,A00003760,Credit,Credit in Cash,38645,50459.2,,2/6/1993
1028004,A00003510,Debit,Cash Withdrawal,1600,22271,,2/6/1993
375032,A00001276,Credit,Credit in Cash,10600,17797.1,,2/6/1993
57435,A00000192,Credit,Collection from Another Bank,5859,6159,GH,2/6/1993
699588,A00002393,Credit,Credit in Cash,5500,17165.2,,2/6/1993
660834,A00002256,Credit,Credit in Cash,700,700,,2/6/1993
275308,A00000943,Credit,Collection from Another Bank,3217,4017,OP,2/6/1993
1163522,A00003983,Credit,Credit in Cash,14626,15526,,2/6/1993
286074,A00000982,Credit,Credit in Cash,4550,5450,,2/6/1993
1132664,A00003871,Credit,Collection from Another Bank,4356,4656,GH,2/6/1993
506452,A00001730,Credit,Collection from Another Bank,6689,7589,ST,2/6/1993
710066,A00002429,Credit,Credit in Cash,600,600,,2/6/1993
695340,A00002378,Debit,Remittance to Another Bank,9612,80033.7,EF,2/7/1993
1176387,A00004034,Credit,Credit in Cash,5080,5280,,2/7/1993
129504,A00000435,Credit,Collection from Another Bank,5039,5439,MN,2/7/1993
138714,A00000465,Credit,Collection from Another Bank,12785,13485,UV,2/7/1993
347545,A00001179,Credit,Collection from Another Bank,4212,4912,WX,2/7/1993
541683,A00001843,Credit,Collection from Another Bank,17632,18632,QR,2/7/1993
542217,A00001844,Credit,Collection from Another Bank,3242,6996.6,ST,2/7/1993
682548,A00002330,Credit,Collection from Another Bank,3395,3595,ST,2/7/1993
2442343,A00008051,Credit,Credit in Cash,200,200,,2/7/1993
1028982,A00003514,Credit,Collection from Another Bank,3399,3999,GH,2/7/1993
579375,A00001972,Credit,Collection from Another Bank,5298,11015.1,UV,2/7/1993
3122926,A00010364,Credit,Credit in Cash,14493,15593,,2/7/1993
615550,A00002099,Credit,Credit in Cash,28157,81962.4,,2/7/1993
612713,A00002087,Credit,Credit in Cash,1800,19390.1,,2/7/1993
292055,A00001000,Credit,Collection from Another Bank,31348,31548,ST,2/7/1993
737260,A00002519,Credit,Collection from Another Bank,5544,6044,GH,2/7/1993
622121,A00002122,Debit,Cash Withdrawal,14100,32859.1,,2/7/1993
1486060,A00005065,Credit,Credit in Cash,33045,33345,,2/7/1993
1021463,A00003487,Credit,Credit in Cash,1800,18556.7,,2/7/1993
655272,A00002241,Credit,Credit in Cash,200,200,,2/8/1993
2349697,A00007753,Credit,Credit in Cash,600,600,,2/8/1993
242366,A00000830,Credit,Credit in Cash,200,200,,2/8/1993
144559,A00000485,Credit,Credit in Cash,20066,66243.9,,2/8/1993
775968,A00002647,Credit,Credit in Cash,400,400,,2/8/1993
537875,A00001830,Credit,Credit in Cash,1000,1000,,2/8/1993
1238919,A00004240,Credit,Collection from Another Bank,27666,27666,EF,2/8/1993
1238917,A00004240,Credit,Credit in Cash,500,28166,,2/8/1993
576752,A00001965,Credit,Credit in Cash,600,600,,2/8/1993
1657153,A00005622,Credit,Credit in Cash,700,700,,2/8/1993
434652,A00001477,Credit,Credit in Cash,700,3851,,2/8/1993
434654,A00001477,Credit,Collection from Another Bank,3151,3151,KL,2/8/1993
294480,A00001006,Credit,Credit in Cash,1000,1000,,2/8/1993
374591,A00001276,Credit,Credit in Cash,6774,24571.1,,2/8/1993
73509,A00000244,Credit,Credit in Cash,800,800,,2/8/1993
110785,A00000374,Debit,Cash Withdrawal,1500,21941,,2/8/1993
882363,A00003007,Credit,Credit in Cash,22452,23252,,2/8/1993
2775579,A00009188,Credit,Credit in Cash,800,800,,2/8/1993
846793,A00002884,Credit,Credit in Cash,1100,1100,,2/8/1993
251235,A00000862,Credit,Collection from Another Bank,44333,44533,YZ,2/8/1993
3402666,A00011295,Credit,Credit in Cash,18347,19447,,2/8/1993
696164,A00002379,Credit,Credit in Cash,13900,14700,,2/9/1993
298980,A00001019,Credit,Credit in Cash,19746,20846,,2/9/1993
333296,A00001134,Credit,Credit in Cash,400,400,,2/9/1993
332446,A00001132,Credit,Collection from Another Bank,48098,49098,ST,2/9/1993
259749,A00000890,Credit,Credit in Cash,7041,7741,,2/9/1993
858265,A00002925,Credit,Credit in Cash,9100,16566,,2/9/1993
858386,A00002926,Credit,Credit in Cash,10584,11184,,2/9/1993
63714,A00000212,Credit,Collection from Another Bank,49590,49790,IJ,2/9/1993
581701,A00001979,Credit,Collection from Another Bank,3021,3921,UV,2/9/1993
469891,A00001601,Credit,Credit in Cash,500,500,,2/9/1993
771037,A00002632,Credit,Credit in Cash,14264,34775.5,,2/9/1993
1084398,A00003704,Credit,Collection from Another Bank,6242,6742,AB,2/9/1993
253162,A00000866,Credit,Credit in Cash,5400,18581.1,,2/9/1993
192098,A00000652,Credit,Credit in Cash,13851,31347,,2/9/1993
1117249,A00003818,Credit,Credit in Cash,17366,37387.8,,2/9/1993
695722,A00002379,Credit,Credit in Cash,5072,19772,,2/10/1993
649665,A00002220,Credit,Credit in Cash,1100,1100,,2/10/1993
237649,A00000813,Credit,Credit in Cash,1100,1100,,2/10/1993
135816,A00000456,Credit,Collection from Another Bank,47831,48531,AB,2/10/1993
775970,A00002647,Credit,Credit in Cash,12015,12415,,2/10/1993
393999,A00001338,Debit,Cash Withdrawal,5200,33215.5,,2/10/1993
708083,A00002425,Credit,Credit in Cash,8905,9805,,2/10/1993
594016,A00002023,Credit,Credit in Cash,23524,23724,,2/10/1993
1049883,A00003592,Credit,Collection from Another Bank,6007,12633.5,MN,2/10/1993
757953,A00002585,Credit,Credit in Cash,1000,1000,,2/10/1993
840171,A00002861,Credit,Credit in Cash,300,300,,2/10/1993
101684,A00000346,Credit,Credit in Cash,1200,21935,,2/10/1993
695270,A00002378,Credit,Credit in Cash,31038,111071.7,,2/11/1993
695561,A00002378,Debit,Cash Withdrawal,25200,85871.7,,2/11/1993
452734,A00001539,Credit,Credit in Cash,43737,56237,,2/11/1993
237651,A00000813,Credit,Collection from Another Bank,12154,13254,QR,2/11/1993
1190754,A00004078,Credit,Credit in Cash,23736,24036,,2/11/1993
511266,A00001750,Credit,Credit in Cash,24863,25963,,2/11/1993
685663,A00002342,Credit,Credit in Cash,400,400,,2/11/1993
810831,A00002763,Credit,Credit in Cash,200,200,,2/11/1993
171814,A00000576,Credit,Collection from Another Bank,6207,13334.1,YZ,2/11/1993
615783,A00002099,Debit,Cash Withdrawal,29700,52262.4,,2/11/1993
612412,A00002087,Credit,Credit in Cash,14622,34012.1,,2/11/1993
506838,A00001731,Credit,Collection from Another Bank,4758,4958,GH,2/11/1993
846795,A00002884,Credit,Credit in Cash,5810,6910,,2/11/1993
252646,A00000866,Credit,Credit in Cash,12644,31225.1,,2/11/1993
184683,A00000627,Credit,Credit in Cash,22349,22949,,2/11/1993
2349709,A00007753,Credit,Credit in Cash,19588,20188,,2/12/1993
2349705,A00007753,Credit,Credit in Cash,27078,47266,,2/12/1993
1736609,A00005891,Credit,Collection from Another Bank,32594,33494,CD,2/12/1993
451892,A00001536,Credit,Collection from Another Bank,25609,25909,QR,2/12/1993
1183178,A00004055,Credit,Credit in Cash,20281,20481,,2/12/1993
571256,A00001944,Credit,Credit in Cash,700,700,,2/12/1993
577274,A00001966,Credit,Credit in Cash,900,900,,2/12/1993
359513,A00001222,Credit,Collection from Another Bank,6310,7010,KL,2/12/1993
754234,A00002574,Credit,Credit in Cash,14319,15419,,2/12/1993
1101121,A00003760,Debit,Cash Withdrawal,14400,36059.2,,2/12/1993
689829,A00002357,Credit,Collection from Another Bank,6434,13687.4,OP,2/12/1993
725753,A00002484,Credit,Credit in Cash,14779,36200.7,,2/12/1993
565656,A00001926,Credit,Credit in Cash,4507,18228,,2/12/1993
857975,A00002925,Credit,Credit in Cash,6446,23012,,2/12/1993
207266,A00000704,Credit,Credit in Cash,17477,38904.1,,2/12/1993
477640,A00001628,Credit,Collection from Another Bank,4276,9265.4,UV,2/12/1993
1549098,A00005270,Debit,Cash Withdrawal,9600,36059.2,,2/12/1993
1121965,A00003834,Credit,Credit in Cash,13875,14575,,2/12/1993
83660,A00000280,Credit,Credit in Cash,12043,12343,,2/12/1993
711850,A00002434,Credit,Credit in Cash,4391,4991,,2/12/1993
490779,A00001675,Credit,Collection from Another Bank,4327,5427,AB,2/12/1993
48642,A00000163,Credit,Collection from Another Bank,6698,7598,YZ,2/13/1993
142152,A00000477,Credit,Credit in Cash,16392,17392,,2/13/1993
671437,A00002293,Credit,Credit in Cash,700,700,,2/13/1993
785192,A00002676,Credit,Credit in Cash,15263,15463,,2/13/1993
745022,A00002543,Credit,Credit in Cash,1100,1100,,2/13/1993
1256506,A00004296,Credit,Credit in Cash,18729,18929,,2/13/1993
439037,A00001493,Credit,Collection from Another Bank,5009,10231.3,AB,2/13/1993
435764,A00001481,Credit,Collection from Another Bank,3098,4098,AB,2/13/1993
858901,A00002926,Credit,Credit in Cash,9000,20184,,2/13/1993
660836,A00002256,Credit,Collection from Another Bank,4729,5429,AB,2/13/1993
480216,A00001637,Credit,Collection from Another Bank,5718,11951.9,UV,2/13/1993
527445,A00001801,Credit,Credit in Cash,700,700,,2/13/1993
1143204,A00003909,Debit,Cash Withdrawal,500,24600,,2/13/1993
1142760,A00003909,Credit,Credit in Cash,24400,25100,,2/13/1993
871633,A00002970,Credit,Credit in Cash,9658,10058,,2/13/1993
757955,A00002585,Credit,Credit in Cash,14963,15963,,2/13/1993
505242,A00001726,Credit,Credit in Cash,13967,34972.2,,2/13/1993
846008,A00002881,Credit,Credit in Cash,6959,21637.5,,2/13/1993
1021122,A00003487,Credit,Credit in Cash,15914,34470.7,,2/13/1993
3394148,A00011265,Credit,Credit in Cash,9800,18418,,2/13/1993
131924,A00000443,Credit,Collection from Another Bank,3058,3558,ST,2/14/1993
3314624,A00011013,Credit,Credit in Cash,600,600,,2/14/1993
122244,A00000411,Credit,Credit in Cash,18497,18897,,2/14/1993
577276,A00001966,Credit,Credit in Cash,20567,21467,,2/14/1993
745024,A00002543,Credit,Collection from Another Bank,6148,7248,CD,2/14/1993
2908690,A00009635,Credit,Collection from Another Bank,4470,9362.9,CD,2/14/1993
707245,A00002423,Credit,Credit in Cash,400,400,,2/14/1993
699222,A00002393,Credit,Credit in Cash,10737,27902.2,,2/14/1993
1081329,A00003693,Credit,Credit in Cash,15447,16447,,2/14/1993
226656,A00000772,Credit,Credit in Cash,24009,24509,,2/14/1993
1548751,A00005270,Credit,Collection from Another Bank,44749,80808.2,IJ,2/14/1993
608137,A00002070,Credit,Credit in Cash,12138,12438,,2/14/1993
42520,A00000142,Credit,Credit in Cash,900,900,,2/15/1993
2190,A00000009,Credit,Credit in Cash,800,1200,,2/15/1993
1002957,A00003424,Credit,Credit in Cash,900,900,,2/16/1993
3123297,A00010364,Credit,Credit in Cash,4200,19793,,2/16/1993
160593,A00000539,Credit,Credit in Cash,700,700,,2/16/1993
1039105,A00003554,Credit,Credit in Cash,1100,1100,,2/16/1993
285072,A00000979,Credit,Credit in Cash,1000,1000,,2/16/1993
796787,A00002714,Credit,Credit in Cash,1300,2100,,2/16/1993
1176616,A00004034,Credit,Credit in Cash,8000,13280,,2/17/1993
119791,A00000401,Credit,Credit in Cash,6000,19117,,2/17/1993
1313154,A00004484,Credit,Credit in Cash,29511,30211,,2/17/1993
989731,A00003374,Credit,Credit in Cash,200,200,,2/17/1993
1036263,A00003545,Credit,Credit in Cash,900,900,,2/17/1993
893645,A00003047,Credit,Credit in Cash,600,600,,2/17/1993
29107,A00000096,Credit,Credit in Cash,1100,1100,,2/18/1993
1002960,A00003424,Credit,Credit in Cash,44162,45062,,2/18/1993
137463,A00000461,Credit,Credit in Cash,600,600,,2/18/1993
1657169,A00005622,Credit,Credit in Cash,24023,24723,,2/18/1993
1039191,A00003554,Credit,Credit in Cash,900,2000,,2/18/1993
887174,A00003026,Credit,Credit in Cash,400,400,,2/18/1993
1050254,A00003593,Credit,Credit in Cash,200,200,,2/18/1993
1122555,A00003834,Credit,Credit in Cash,6600,21175,,2/18/1993
39477,A00000128,Credit,Credit in Cash,300,300,,2/19/1993
1108941,A00003787,Credit,Credit in Cash,800,800,,2/19/1993
1657174,A00005622,Credit,Credit in Cash,33410,58133,,2/19/1993
64021,A00000212,Debit,Cash Withdrawal,14800,34990,,2/19/1993
1080837,A00003691,Credit,Credit in Cash,400,400,,2/19/1993
309324,A00001054,Credit,Credit in Cash,800,800,,2/19/1993
711470,A00002433,Credit,Credit in Cash,500,500,,2/19/1993
695251,A00002378,Credit,Credit in Cash,19136,105007.7,,2/20/1993
695562,A00002378,Debit,Cash Withdrawal,33900,71107.7,,2/20/1993
299430,A00001019,Credit,Credit in Cash,4100,24946,,2/20/1993
136148,A00000456,Debit,Cash Withdrawal,10500,38031,,2/20/1993
137124,A00000459,Credit,Credit in Cash,13400,14400,,2/20/1993
227105,A00000772,Debit,Cash Withdrawal,600,23909,,2/20/1993
1450014,A00004937,Credit,Credit in Cash,700,700,,2/20/1993
622627,A00002124,Credit,Credit in Cash,500,500,,2/20/1993
3403038,A00011295,Credit,Credit in Cash,3700,23147,,2/20/1993
94644,A00000322,Credit,Credit in Cash,1000,1000,,2/20/1993
